Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
70,Exit long,2024-10-24 08:56,Exit,2722.815,3.69,10047.0213,0.13,0.00,1.61,0.02,-5.06,-0.05,55.73,0.56
70,Entry long,2024-10-24 08:47,Long,2722.77,3.69,10047.0213,0.13,0.00,1.61,0.02,-5.06,-0.05,55.73,0.56
71,Exit long,2024-10-24 09:03,Exit,2723.21,3.69,10047.132,1.48,0.01,1.49,0.01,-0.31,0.00,57.2,0.57
71,Entry long,2024-10-24 09:02,Long,2722.8,3.69,10047.132,1.48,0.01,1.49,0.01,-0.31,0.00,57.2,0.57
72,Exit long,2024-10-24 09:07,Exit,2723.415,3.69,10047.8331,1.53,0.02,1.97,0.02,-2.55,-0.03,58.73,0.59
72,Entry long,2024-10-24 09:04,Long,2722.99,3.69,10047.8331,1.53,0.02,1.97,0.02,-2.55,-0.03,58.73,0.59
73,Exit long,2024-10-24 09:18,Exit,2722.775,3.69,10048.0176,-1.01,-0.01,0,0.00,-5.07,-0.05,57.72,0.58
73,Entry long,2024-10-24 09:11,Long,2723.04,3.69,10048.0176,-1.01,-0.01,0,0.00,-5.07,-0.05,57.72,0.58
74,Exit long,2024-10-24 09:48,Exit,2723.835,3.69,10049.6781,1.24,0.01,1.49,0.01,-0.52,-0.01,58.96,0.59
74,Entry long,2024-10-24 09:45,Long,2723.49,3.69,10049.6781,1.24,0.01,1.49,0.01,-0.52,-0.01,58.96,0.59
75,Exit long,2024-10-24 10:05,Exit,2726.09,3.69,10057.9068,1.33,0.01,1.42,0.01,-0.65,-0.01,60.28,0.60
75,Entry long,2024-10-24 10:04,Long,2725.72,3.69,10057.9068,1.33,0.01,1.42,0.01,-0.65,-0.01,60.28,0.60
76,Exit long,2024-10-24 10:09,Exit,2726.115,3.69,10057.2795,2.05,0.02,2.16,0.02,-0.61,-0.01,62.33,0.62
76,Entry long,2024-10-24 10:07,Long,2725.55,3.69,10057.2795,2.05,0.02,2.16,0.02,-0.61,-0.01,62.33,0.62
77,Exit long,2024-10-24 10:14,Exit,2726.07,3.69,10058.55255,0.61,0.01,0.77,0.01,-1.2,-0.01,62.94,0.63
77,Entry long,2024-10-24 10:12,Long,2725.895,3.69,10058.55255,0.61,0.01,0.77,0.01,-1.2,-0.01,62.94,0.63
78,Exit long,2024-10-24 10:16,Exit,2726.265,3.69,10058.29425,1.59,0.02,1.88,0.02,-0.18,0.00,64.53,0.65
78,Entry long,2024-10-24 10:15,Long,2725.825,3.69,10058.29425,1.59,0.02,1.88,0.02,-0.18,0.00,64.53,0.65
79,Exit long,2024-10-24 10:26,Exit,2726.695,3.69,10060.10235,1.37,0.01,1.44,0.01,-0.77,-0.01,65.89,0.66
79,Entry long,2024-10-24 10:24,Long,2726.315,3.69,10060.10235,1.37,0.01,1.44,0.01,-0.77,-0.01,65.89,0.66
80,Exit long,2024-10-24 10:30,Exit,2726.595,3.69,10060.47135,0.63,0.01,0.77,0.01,-0.18,0.00,66.52,0.67
80,Entry long,2024-10-24 10:29,Long,2726.415,3.69,10060.47135,0.63,0.01,0.77,0.01,-0.18,0.00,66.52,0.67
81,Exit long,2024-10-24 10:33,Exit,2726.94,3.69,10060.02855,2.34,0.02,2.58,0.03,-0.39,0.00,68.86,0.69
81,Entry long,2024-10-24 10:31,Long,2726.295,3.69,10060.02855,2.34,0.02,2.58,0.03,-0.39,0.00,68.86,0.69
82,Exit long,2024-10-24 10:45,Exit,2726.85,3.69,10060.9326,1.11,0.01,1.13,0.01,-2.23,-0.02,69.97,0.70
82,Entry long,2024-10-24 10:37,Long,2726.54,3.69,10060.9326,1.11,0.01,1.13,0.01,-2.23,-0.02,69.97,0.70
83,Exit long,2024-10-24 11:00,Exit,2727.935,3.69,10065.3237,0.72,0.01,0.74,0.01,-2.95,-0.03,70.69,0.71
83,Entry long,2024-10-24 10:58,Long,2727.73,3.69,10065.3237,0.72,0.01,0.74,0.01,-2.95,-0.03,70.69,0.71
84,Exit long,2024-10-24 11:12,Exit,2728.25,3.69,10066.04325,1.16,0.01,1.18,0.01,-3.32,-0.03,71.85,0.72
84,Entry long,2024-10-24 11:08,Long,2727.925,3.69,10066.04325,1.16,0.01,1.18,0.01,-3.32,-0.03,71.85,0.72
85,Exit long,2024-10-24 11:21,Exit,2728.52,3.69,10066.41225,1.79,0.02,2.99,0.03,-4.5,-0.04,73.64,0.74
85,Entry long,2024-10-24 11:13,Long,2728.025,3.69,10066.41225,1.79,0.02,2.99,0.03,-4.5,-0.04,73.64,0.74
86,Exit long,2024-10-24 11:32,Exit,2729.465,3.69,10068.7923,2.9,0.03,3.25,0.03,-0.77,-0.01,76.54,0.77
86,Entry long,2024-10-24 11:31,Long,2728.67,3.69,10068.7923,2.9,0.03,3.25,0.03,-0.77,-0.01,76.54,0.77
87,Exit long,2024-10-24 11:38,Exit,2729.715,3.69,10070.72955,1.88,0.02,2.4,0.02,-2.95,-0.03,78.42,0.78
87,Entry long,2024-10-24 11:35,Long,2729.195,3.69,10070.72955,1.88,0.02,2.4,0.02,-2.95,-0.03,78.42,0.78
88,Exit long,2024-10-24 11:49,Exit,2730.325,3.69,10071.98415,2.88,0.03,3.91,0.04,-0.17,0.00,81.3,0.81
88,Entry long,2024-10-24 11:46,Long,2729.535,3.69,10071.98415,2.88,0.03,3.91,0.04,-0.17,0.00,81.3,0.81
89,Exit long,2024-10-24 11:52,Exit,2730.515,3.69,10073.2572,2.31,0.02,3.12,0.03,-0.02,0.00,83.6,0.84
89,Entry long,2024-10-24 11:51,Long,2729.88,3.69,10073.2572,2.31,0.02,3.12,0.03,-0.02,0.00,83.6,0.84
90,Exit long,2024-10-24 11:54,Exit,2730.655,3.69,10074.49335,1.59,0.02,2.95,0.03,-0.02,0.00,85.19,0.85
90,Entry long,2024-10-24 11:53,Long,2730.215,3.69,10074.49335,1.59,0.02,2.95,0.03,-0.02,0.00,85.19,0.85
91,Exit long,2024-10-24 12:17,Exit,2735.17,3.68,10063.6776,1.71,0.02,2.01,0.02,-1.49,-0.01,86.9,0.87
91,Entry long,2024-10-24 12:15,Long,2734.695,3.68,10063.6776,1.71,0.02,2.01,0.02,-1.49,-0.01,86.9,0.87
92,Exit long,2024-10-24 12:30,Exit,2735.25,3.68,10064.5608,1.12,0.01,1.36,0.01,-4.49,-0.04,88.02,0.88
92,Entry long,2024-10-24 12:25,Long,2734.935,3.68,10064.5608,1.12,0.01,1.36,0.01,-4.49,-0.04,88.02,0.88
93,Exit long,2024-10-24 12:35,Exit,2734.66,3.68,10063.604,-0.09,0.00,1.05,0.01,-2.24,-0.02,87.93,0.88
93,Entry long,2024-10-24 12:31,Long,2734.675,3.68,10063.604,-0.09,0.00,1.05,0.01,-2.24,-0.02,87.93,0.88
94,Exit long,2024-10-24 12:44,Exit,2735.87,3.68,10066.8056,1.16,0.01,1.97,0.02,-0.02,0.00,89.09,0.89
94,Entry long,2024-10-24 12:43,Long,2735.545,3.68,10066.8056,1.16,0.01,1.97,0.02,-0.02,0.00,89.09,0.89
95,Exit long,2024-10-24 13:02,Exit,2735.145,3.68,10066.7872,-1.49,-0.01,1.66,0.02,-6.13,-0.06,87.6,0.88
95,Entry long,2024-10-24 12:49,Long,2735.54,3.68,10066.7872,-1.49,-0.01,1.66,0.02,-6.13,-0.06,87.6,0.88
96,Exit long,2024-10-24 13:27,Exit,2733.53,3.68,10066.6584,-7.3,-0.07,0.31,0.00,-12,-0.12,80.3,0.80
96,Entry long,2024-10-24 13:12,Long,2735.505,3.68,10066.6584,-7.3,-0.07,0.31,0.00,-12,-0.12,80.3,0.80
97,Exit long,2024-10-24 13:33,Exit,2733.52,3.68,10056.3912,2.93,0.03,4.18,0.04,-0.29,0.00,83.22,0.83
97,Entry long,2024-10-24 13:31,Long,2732.715,3.68,10056.3912,2.93,0.03,4.18,0.04,-0.29,0.00,83.22,0.83
